Признак избранного обращения;ID;Признак Супер VIP пользователя;Режим скорости обработки;Название;Описание;Статус;Контактное лицо;Приоритет;SLM-индикатор;Нормативный срок;Создано;Пользователь;Автор;Причина остановки;Изменено;Теги
Нет;SD-8685319;false;0-25;[РБ] Ошибка при внесении наличных ФЛ через кассу;Ошибка при внесении наличных ФЛ через кассу в офисе банка — чек не распечатался.;Открыто;Кульбицкая Ирина Петровна;Средний;На контроле;2025-10-09;2025-10-09 04:38;Кульбицкая Ирина Петровна;Кульбицкая Ирина Петровна;;2025-10-10 00:03;"касса; наличные; офис; ошибка"
Нет;SD-8607602;false;25-50;[РБ] Ошибка при внесении наличных ФЛ через кассу;Ошибка при внесении наличных ФЛ через кассу в офисе банка — сумма не зачислена.;Открыто;Кульбицкая Ирина Петровна;Средний;Норматив;2025-10-03;2025-10-03 14:50;Кульбицкая Ирина Петровна;Кульбицкая Ирина Петровна;;2025-10-05 13:27;"касса; наличные; офис; ошибка"
Нет;SD-8631544;false;0-25;[РБ] Ошибка при внесении наличных ФЛ через кассу;Ошибка при внесении наличных ФЛ через кассу в офисе банка — касса зависла на шаге подтверждения.;Закрыто;Кульбицкая Ирина Петровна;Средний;Просрочено;2025-10-11;2025-10-11 20:37;Кульбицкая Ирина Петровна;Кульбицкая Ирина Петровна;;2025-10-14 01:41;"касса; наличные; офис; ошибка"
Нет;SD-8629260;false;0-25;[РБ] Ошибка при внесении наличных ФЛ через кассу;Ошибка при внесении наличных ФЛ через кассу в офисе банка — операция отменена без причины.;Закрыто;Кульбицкая Ирина Петровна;Средний;На контроле;2025-10-02;2025-10-02 18:26;Кульбицкая Ирина Петровна;Кульбицкая Ирина Петровна;;2025-10-05 18:33;"касса; наличные; офис; ошибка"
Нет;SD-8606105;false;25-50;[РБ] Ошибка при внесении наличных ФЛ через кассу;Ошибка при внесении наличных ФЛ через кассу в офисе банка — банкноты застряли в купюроприемнике.;Ожидает клиента;Кульбицкая Ирина Петровна;Средний;Просрочено;2025-10-10;2025-10-10 23:04;Кульбицкая Ирина Петровна;Кульбицкая Ирина Петровна;;2025-10-11 05:18;"касса; наличные; офис; ошибка"
Нет;SD-8674830;false;50-75;[РБ] Ошибка при внесении наличных ФЛ через кассу;Ошибка при внесении наличных ФЛ через кассу в офисе банка — двойное списание.;Закрыто;Кульбицкая Ирина Петровна;Средний;На контроле;2025-10-04;2025-10-04 20:02;Кульбицкая Ирина Петровна;Кульбицкая Ирина Петровна;;2025-10-07 17:09;"касса; наличные; офис; ошибка"
Нет;SD-8674868;false;25-50;[РБ] Ошибка при внесении наличных ФЛ через кассу;Ошибка при внесении наличных ФЛ через кассу в офисе банка — неверный тип операции.;Ожидает клиента;Кульбицкая Ирина Петровна;Средний;Норматив;2025-10-05;2025-10-05 17:16;Кульбицкая Ирина Петровна;Кульбицкая Ирина Петровна;;2025-10-06 06:53;"касса; наличные; офис; ошибка"
Нет;SD-8607812;false;25-50;[РБ] Ошибка при внесении наличных ФЛ через кассу;Ошибка при внесении наличных ФЛ через кассу в офисе банка — отсутствует связь с сервером.;Ожидает ИТ;Кульбицкая Ирина Петровна;Средний;На контроле;2025-10-14;2025-10-14 15:05;Кульбицкая Ирина Петровна;Кульбицкая Ирина Петровна;;2025-10-14 23:41;"касса; наличные; офис; ошибка"
Нет;SD-8641175;false;75-100;[РБ] Ошибка при внесении наличных ФЛ через кассу;Ошибка при внесении наличных ФЛ через кассу в офисе банка — повтор запроса привёл к дублю.;Закрыто;Кульбицкая Ирина Петровна;Средний;Просрочено;2025-10-14;2025-10-14 05:44;Кульбицкая Ирина Петровна;Кульбицкая Ирина Петровна;;2025-10-16 12:33;"касса; наличные; офис; ошибка"
Нет;SD-8623562;false;25-50;[РБ] Ошибка при внесении наличных ФЛ через кассу;Ошибка при внесении наличных ФЛ через кассу в офисе банка — требуется пересчет наличности.;Открыто;Кульбицкая Ирина Петровна;Средний;На контроле;2025-10-10;2025-10-10 02:38;Кульбицкая Ирина Петровна;Кульбицкая Ирина Петровна;;2025-10-11 16:53;"касса; наличные; офис; ошибка"
Нет;SD-8645020;false;75-100;Обновление сертификата ГОСТ;Проблема с печатью кассовых документов, драйвер ККМ просит обновление.;В работе;Петрова Мария Алексеевна;Средний;Просрочено;2025-10-08;2025-10-08 14:54;Сидоров Алексей Игоревич;Соколова Екатерина Александровна;Ожидание информации от клиента;2025-10-11 10:25;"ККМ; вклад; USB токен"
Да;SD-8691133;true;0-25;Печать выписки;Смена мобильного телефона клиента: не проходит проверка номера, запрос отклоняется.;Открыто;Иванов Сергей Николаевич;Критичный;На контроле;2025-10-20;2025-10-20 11:40;Кульбицкая Ирина Петровна;Соколова Екатерина Александровна;;2025-10-22 04:01;"СДО; USB токен; сеть; мобильное"
Да;SD-8687641;true;25-50;Печать выписки;Клиент обратился по вопросу закрытия расчетного счета бизнес-карты. При закрытии выдает ошибку «по данному счету уже выполняется процедура закрытия».;Закрыто;Кульбицкая Ирина Петровна;Критичный;Норматив;2025-10-08;2025-10-08 05:47;Пономарева Екатерина Вячеславовна;Иванов Сергей Николаевич;;2025-10-12 01:11;"ВТБ Про; сеть; мобильное"
Нет;SD-8652644;true;50-75;ДКО – пакет услуг;Проблема с печатью кассовых документов, драйвер ККМ просит обновление.;Ожидает ИТ;Петрова Мария Алексеевна;Критичный;Норматив;2025-10-03;2025-10-03 06:56;Девятайкин Денис Александрович;Кульбицкая Ирина Петровна;;2025-10-04 04:24;"СДО; ошибка; касса"
Нет;SD-8634438;true;50-75;Открытие вклада;Клиент обратился по вопросу закрытия расчетного счета бизнес-карты. При закрытии выдает ошибку «по данному счету уже выполняется процедура закрытия».;Закрыто;Романова Анна Викторовна;Высокий;Норматив;2025-10-13;2025-10-13 02:30;Кузнецов Павел Андреевич;Романова Анна Викторовна;;2025-10-16 05:41;"касса; мобильное; СДО; вклад; ВТБ Про"
Нет;SD-8613570;false;0-25;Обновление сертификата ГОСТ;Сертификат ГОСТ истек, просим выпустить новый и обновить на рабочей станции.;В работе;Орлова Ксения Дмитриевна;Средний;Норматив;2025-10-10;2025-10-10 23:53;Петрова Мария Алексеевна;Романова Анна Викторовна;;2025-10-13 03:18;"USB токен; офис; вклад"
Да;SD-8603342;false;50-75;[РБ] Ошибка при внесении наличных ФЛ через кассу;Не проходит подписание документа в СДО, заявка зависает в статусе «Черновик».;Ожидает клиента;Романова Анна Викторовна;Высокий;Просрочено;2025-10-03;2025-10-03 19:06;Кульбицкая Ирина Петровна;Кульбицкая Ирина Петровна;Ожидание информации от клиента;2025-10-05 17:45;"мобильное; сеть; ГОСТ; наличные"
Нет;SD-8644909;false;25-50;Открытие вклада;Не удается открыть вклад в мобильном приложении, возникает сообщение «операция недоступна».;Закрыто;Петрова Мария Алексеевна;Средний;На контроле;2025-10-04;2025-10-04 19:57;Кузнецов Павел Андреевич;Соколова Екатерина Александровна;;2025-10-05 09:44;"СДО; наличные; печать; ГОСТ"
Да;SD-8621894;false;25-50;Печать выписки;Не проходит подписание документа в СДО, заявка зависает в статусе «Черновик».;В работе;Сидоров Алексей Игоревич;Средний;Норматив;2025-10-13;2025-10-13 21:59;Кузнецов Павел Андреевич;Орлова Ксения Дмитриевна;;2025-10-15 20:57;"касса; ККМ; ГОСТ"
Да;SD-8690770;true;50-75;Заявка на выпуск карты;Нет доступа к папке общего ресурса после смены доменного пароля.;Открыто;Пономарева Екатерина Вячеславовна;Низкий;Норматив;2025-10-12;2025-10-12 19:05;Орлова Ксения Дмитриевна;Пономарева Екатерина Вячеславовна;;2025-10-14 04:17;"USB токен; сеть; касса; мобильное"
Да;SD-8684296;false;75-100;[РБ] Ошибка при внесении наличных ФЛ через кассу;АСУ НКИ: ключевой носитель рутокен не определяется системой, требуется проверка параметров конфигурации.;В работе;Сидоров Алексей Игоревич;Высокий;Норматив;2025-10-17;2025-10-17 04:23;Сидоров Алексей Игоревич;Орлова Ксения Дмитриевна;;2025-10-19 01:14;"печать; офис; ККМ"
Да;SD-8677438;true;25-50;Обновление сертификата ГОСТ;ВТБ Про: ошибка при сбросе пароля, код подтверждения не приходит клиенту.;Закрыто;Кузнецов Павел Андреевич;Средний;Норматив;2025-10-04;2025-10-04 10:00;Соколова Екатерина Александровна;Кульбицкая Ирина Петровна;;2025-10-04 13:09;"ВТБ Про; ошибка; ККМ"
Да;SD-8638399;true;75-100;ДКО – пакет услуг;Не проходит подписание документа в СДО, заявка зависает в статусе «Черновик».;В работе;Соколова Екатерина Александровна;Высокий;Просрочено;2025-10-02;2025-10-02 00:18;Романова Анна Викторовна;Кузнецов Павел Андреевич;;2025-10-03 08:31;"офис; вклад; сеть; ККМ; СДО"
Нет;SD-8624000;false;25-50;Заявка на выпуск карты;Клиент обратился по вопросу закрытия расчетного счета бизнес-карты. При закрытии выдает ошибку «по данному счету уже выполняется процедура закрытия».;Ожидает ИТ;Романова Анна Викторовна;Низкий;На контроле;2025-10-01;2025-10-01 18:53;Соколова Екатерина Александровна;Петрова Мария Алексеевна;;2025-10-04 03:42;"вклад; мобильное; наличные; сеть; касса"
Да;SD-8605531;false;0-25;[РБ] Ошибка при внесении наличных ФЛ через кассу;Заявка на выпуск карты: требуется корректировка ФИО, неверная транслитерация.;Ожидает ИТ;Петрова Мария Алексеевна;Средний;На контроле;2025-10-07;2025-10-07 08:45;Иванов Сергей Николаевич;Орлова Ксения Дмитриевна;;2025-10-08 09:02;"вклад; ошибка; печать; сеть"
